,Mã học phần,Tên lớp học phần,Phòng,Max,Min,Ngày
0,5504001,124ACAD01,A306,60,24,19/08/2024
1,5505001,124ATD01,A107,60,59,19/08/2024
2,5505001,124ATD02,A107,61,59,19/08/2024
3,5505001,124ATD03,A107,63,63,19/08/2024
4,5505001,124ATD04,A107,60,60,14/10/2024
5,5505001,124ATD05,A107,60,60,19/08/2024
6,5505001,124ATD06,C401,60,58,19/08/2024
7,5505001,124ATD09,A205,60,52,19/08/2024
8,5506001,124ATLD01,A217,60,27,19/08/2024
9,5504270,124AVCN01,A205,48,47,01/10/2024
10,5504002,124BDCN01,A212,45,49,19/08/2024
11,5507054,124CCBDK01,A206,60,21,19/08/2024
12,5507056,124CCBRQ01,A217,60,17,19/08/2024
13,5507052,124CCCND01,A217,60,29,19/08/2024
14,5505006,124CCD01,A205,60,55,19/08/2024
15,5505006,124CCD02,A205,60,24,19/08/2024
16,5505006,124CCD03,A205,61,59,19/08/2024
17,5504212,124CDCDT01,A208,60,56,19/08/2024
18,5504212,124CDCDT02,A208,60,53,19/08/2024
19,5505342,124CDDH2001,A306,60,33,19/08/2024
20,5505342,124CDDH2002,A105,60,31,19/08/2024
21,5506005,124CDDTX01,A103,60,31,19/08/2024
22,5504089,124CDHKK01,B102_CS2,40,23,26/08/2024
23,5504089,124CDHKK02,A107,41,41,19/08/2024
24,5506234,124CDKTBVKT01,B206_CS2,50,29,26/08/2024
25,5505238,124CDNHTD01,B304_CS2,60,41,26/08/2024
26,5505238,124CDNHTD02,B204_CS2,60,44,26/08/2024
27,5507050,124CDNT01,C403,60,32,19/08/2024
28,5504238,124CDOTO03,B104_CS2,45,35,26/08/2024
29,5505126,124CDPM02,A101,85,82,19/08/2024
30,5505126,124CDPM03,A101,60,60,19/08/2024
31,5504200,124CDPMCCCDT01,A210,45,29,19/08/2024
32,5504200,124CDPMCCCDT02,A209,45,45,19/08/2024
33,5504200,124CDPMCCCDT03,A209,45,43,19/08/2024
34,5505125,124CDTVT02,C401,60,28,19/08/2024
